,pitch_type,count,Executed
1,3,0,0
3,1,7,1
4,1,6,1
5,3,3,0
6,3,0,0
8,3,3,1
9,4,0,0
10,3,5,1
11,1,2,0
12,3,1,1
13,3,0,1
14,2,10,0
15,2,9,1
16,4,6,1
17,3,3,0
18,3,0,0
20,4,0,1
22,3,11,0
23,3,10,1
24,2,9,1
25,4,6,0
26,4,3,0
27,4,0,0
28,1,5,0
29,4,4,1
30,4,1,1
31,4,0,1
33,4,4,1
34,1,1,0
35,4,0,1
36,3,5,1
37,3,4,1
38,3,3,1
39,3,0,0
41,3,5,0
42,3,2,1
43,3,2,0
45,4,0,1
46,3,2,1
47,3,1,1
48,1,0,1
49,1,5,0
50,3,4,0
51,3,1,1
52,4,0,0
53,1,5,0
55,3,3,1
56,3,0,0
57,1,11,1
58,3,8,1
59,3,7,1
60,4,6,0
61,3,3,0
62,3,0,0
64,3,5,1
65,3,2,1
66,1,1,0
67,1,0,1
69,3,8,1
70,3,5,1
71,1,4,0
72,4,1,0
73,3,0,0
75,1,5,0
76,3,4,1
78,3,0,0
81,1,6,1
82,1,3,0
83,4,0,0
85,1,0,0
86,3,5,0
87,3,2,1
89,3,0,1
91,4,0,1
93,1,1,0
94,3,0,1
95,1,11,1
96,4,10,1
97,4,7,0
98,4,4,1
100,1,0,0
101,1,2,0
103,4,0,0
104,3,5,1
105,4,4,1
106,3,1,0
107,1,0,1
108,1,8,0
111,1,4,0
112,1,1,0
113,3,0,1
115,1,0,1
116,3,5,0
120,3,1,1
121,1,0,1
122,1,5,0
124,1,1,0
125,4,0,0
126,1,8,0
128,3,4,1
129,1,1,0
130,1,0,1
131,1,11,1
132,3,8,1
133,3,5,1
135,2,1,0
136,2,0,1
138,4,0,1
140,1,0,0
141,3,11,0
142,3,8,1
143,3,5,1
144,1,4,0
145,1,1,0
146,2,0,0
148,1,8,0
149,1,7,0
150,1,4,0
151,1,1,0
152,3,0,0
154,2,0,1
157,3,0,0
158,3,5,1
159,3,2,1
160,3,1,1
161,3,0,1
163,1,8,0
164,3,7,1
165,1,6,1
166,1,3,0
167,1,0,0
169,4,9,0
170,2,6,0
171,3,3,0
172,1,0,0
175,1,2,0
176,1,1,0
177,3,0,1
178,3,5,0
180,3,1,0
181,4,0,1
183,4,0,0
184,1,5,0
185,1,2,0
187,3,0,1
189,4,3,1
190,4,0,0
191,3,5,0
192,1,4,0
193,1,1,0
194,4,0,1
196,2,0,0
197,1,5,0
198,1,2,0
199,1,1,0
202,1,10,1
203,1,9,1
204,2,6,0
205,1,3,0
206,2,0,0
208,1,8,0
209,3,7,0
210,4,6,1
211,3,3,0
212,3,0,0
214,1,4,0
215,1,1,0
216,4,0,1
218,1,5,0
219,1,2,0
221,3,0,1
223,4,3,0
224,4,0,0
228,4,8,1
231,1,5,0
232,1,2,0
233,4,1,1
237,3,0,0
240,1,0,1
241,1,8,0
243,3,4,1
244,3,1,1
245,3,0,1
248,2,6,1
249,4,3,0
250,2,0,0
251,3,2,0
253,4,0,0
254,3,2,1
255,3,1,1
256,3,0,1
259,4,1,1
260,4,0,0
262,3,1,1
263,3,0,1
264,1,8,0
266,4,8,1
267,3,5,0
269,3,5,1
270,1,2,0
271,3,1,0
272,4,0,1
273,3,5,1
274,4,2,1
275,3,2,1
276,3,1,1
277,3,0,1
279,1,7,0
280,2,6,1
281,4,3,0
282,4,0,0
284,4,4,1
285,4,3,0
286,1,0,0
289,3,0,1
290,1,9,0
291,1,6,1
292,3,3,0
293,3,0,0
294,3,8,1
295,1,8,0
296,1,5,0
297,1,5,0
298,3,4,0
299,1,1,0
300,1,0,1
302,4,9,1
303,4,6,0
304,3,3,0
305,4,0,0
306,4,11,0
307,3,8,1
308,3,5,1
309,4,2,1
310,3,1,1
311,3,0,0
313,3,3,0
314,1,0,0
316,4,4,1
317,3,1,1
318,4,0,1
320,3,0,1
322,1,1,0
323,4,0,1
325,4,10,1
326,4,7,0
327,3,4,0
328,4,3,1
329,4,0,0
331,2,3,1
332,2,0,0
333,3,11,0
334,1,10,0
336,1,6,0
337,3,3,0
338,1,0,0
339,1,11,1
340,3,8,1
341,3,7,1
342,2,6,1
343,1,3,0
344,1,0,0
345,3,8,1
346,1,5,0
348,1,1,0
349,3,0,1
351,1,7,1
352,3,4,1
353,4,1,1
354,3,0,1
356,1,10,0
357,4,7,0
358,3,4,1
359,4,3,0
360,2,0,0
363,4,2,1
365,1,0,1
367,3,0,0
368,1,11,1
369,4,10,1
370,1,7,0
371,1,4,0
372,1,1,0
373,3,0,1
374,3,5,1
375,4,2,1
376,4,1,1
377,1,0,1
379,4,5,1
380,4,2,1
381,3,1,0
384,4,0,1
385,3,8,1
386,1,5,0
388,3,4,0
389,3,3,1
390,1,0,0
391,4,10,0
392,1,7,0
393,1,4,0
394,1,3,1
395,1,0,0
398,3,1,1
399,2,0,0
401,1,11,1
403,1,11,1
405,3,11,1
406,1,8,0
407,3,8,0
408,1,5,0
409,1,2,0
410,1,1,0
411,3,0,0
412,3,8,1
413,1,7,1
414,1,4,0
416,3,0,0
417,3,5,0
418,1,4,0
419,4,3,0
420,4,0,0
421,3,8,0
422,1,5,0
423,1,2,0
425,3,0,1
426,1,11,0
428,3,8,0
429,3,5,1
431,1,1,0
432,1,0,1
434,3,0,1
436,3,5,1
438,1,5,0
442,1,4,0
443,1,3,1
444,3,0,0
445,3,8,1
446,2,7,1
447,2,6,1
448,2,3,1
449,3,0,0
451,3,3,0
452,3,0,0
454,3,1,1
455,4,0,1
456,3,11,0
457,3,8,0
458,1,8,0
460,3,8,1
461,4,5,1
462,3,2,1
463,3,1,1
464,4,0,1
467,3,5,1
468,1,5,0
469,1,4,0
470,3,1,0
471,4,0,1
472,3,5,1
474,3,4,1
475,3,1,1
477,1,5,0
478,3,4,1
479,1,1,0
480,1,0,1
481,3,11,0
482,1,8,0
483,1,5,0
484,3,4,1
485,3,3,1
486,3,0,0
488,3,3,0
489,1,0,0
490,1,11,0
491,1,8,0
492,1,5,0
493,1,4,0
494,3,1,0
495,4,0,1
497,3,1,0
498,2,0,1
501,1,0,1
503,2,10,1
504,2,9,1
505,4,6,0
506,1,3,0
507,4,0,0
509,1,1,0
511,1,8,0
512,3,5,0
513,4,5,1
515,1,3,1
516,1,0,0
518,2,1,0
519,3,0,1
520,1,11,1
521,1,10,1
522,1,7,0
523,2,4,0
524,3,1,1
525,3,0,1
526,1,5,0
527,1,4,0
528,3,3,0
529,3,0,0
530,2,9,0
531,4,6,0
532,1,3,0
533,1,0,0
534,3,2,1
535,1,1,0
536,4,0,1
537,3,8,1
539,1,4,0
540,3,3,1
541,4,0,0
543,1,1,0
545,3,5,1
547,1,1,0
548,3,0,0
550,4,5,1
552,3,2,1
553,4,1,1
554,3,0,0
555,2,11,0
556,1,11,1
557,3,11,1
558,2,10,1
559,3,7,0
560,3,4,1
561,4,3,1
562,3,0,0
563,3,8,1
564,1,5,0
565,1,2,0
566,1,1,0
567,4,0,1
568,3,5,1
569,1,2,0
570,1,2,0
571,1,1,0
572,3,0,1
574,1,2,0
575,4,2,1
576,4,1,1
577,4,0,0
580,4,4,0
581,3,3,1
582,3,0,1
583,3,5,0
584,1,5,0
588,1,1,0
589,4,0,1
590,1,5,0
591,1,2,0
592,3,1,1
